COUNTY,WATER,TOWN,SPECIES,Y_coord,X_coord,ABUNDANCE
Aroostook,BLACK P,T15R9 WELS,ARCTIC CHAR,46.974063,-68.839522,High
Aroostook,DEBOULLIE P,T15R9 WELS,ARCTIC CHAR,46.965112,-68.855618,Moderate
Aroostook,GARDNER P,T15R9 WELS,ARCTIC CHAR,46.960960,-68.885971,Moderate
Aroostook,PUSHINEER P,T15R9 WELS,ARCTIC CHAR,46.960786,-68.841245,Low
Franklin,LONG P,Township E,ARCTIC CHAR,45.626023,-70.089434,High
Hancock,FLOODS P,Otis,ARCTIC CHAR,44.740207,-68.494068,High
Hancock,GREEN L,Dedham,ARCTIC CHAR,44.645626,-68.492213,Low
Piscataquis,RAINBOW L,Rainbow Twp,ARCTIC CHAR,45.827220,-69.116864,Moderate
Piscataquis,REED P (BIG),T8R10,ARCTIC CHAR,46.352963,-69.057636,Moderate
Piscataquis,WADLEIGH P,T8R15,ARCTIC CHAR,46.355350,-69.709710,High
Piscataquis,WASSATAQUOIK L,T4R10,ARCTIC CHAR,46.015535,-68.951619,High
Somerset,BALD MOUNTAIN P,T2R3,ARCTIC CHAR,45.258539,-69.729335,High
Somerset,ENCHANTED P,Upper Enchanted Twp,ARCTIC CHAR,45.434092,-70.184722,Very Low
Somerset,PENOBSCOT L,Dole Brook Twp,ARCTIC CHAR,45.933532,-70.217042,High
