WATER,TOWN,COUNTY,X_coord,Y_coord
ANDROSCOGGIN R (LITTLE),Auburn,Androscoggin,-70.23938085682464,44.07143328372705
AUBURN L,Auburn,Androscoggin,-70.2533107656,44.1447988838
BASIN B,Auburn,Androscoggin,-70.2863027018,44.1846892967
PETTINGILL PARK P,Auburn,Androscoggin,-70.2345428177,44.1069175694
ROYAL R,Auburn,Androscoggin,-70.2604662186373,44.00676908685673
TAYLOR P,Auburn,Androscoggin,-70.278494,44.109052
MEADOW B,Durham,Androscoggin,-70.06921107679881,43.97500115343845
NEWELL B,Durham,Androscoggin,-70.10090046124239,43.98564952749467
SABATTUS P (LITTLE),Greene,Androscoggin,-70.134896,44.210982
STETSON B,Lewiston,Androscoggin,-69.1239385457,44.8383037989
ANDROSCOGGIN R,Lisbon,Androscoggin,-70.09269781565973,44.00985570155133
BEAVER PARK P #2,Lisbon,Androscoggin,-70.1304425675,44.0298705242
BEAVER PARK P #3,Lisbon,Androscoggin,-70.1318739294,44.027780521
LITTLE R,Lisbon,Androscoggin,-70.03869327508393,44.00249982597636
BARTLETT P,Livermore,Androscoggin,-70.2052077503,44.4011913925
BRETTUNS P,Livermore,Androscoggin,-70.2502684137,44.3926629255
LONG P,Livermore,Androscoggin,-70.208375,44.432238
ROUND P,Livermore,Androscoggin,-70.218831,44.432298
ANDROSCOGGIN R (LITTLE),Mechanic Falls,Androscoggin,-70.41648328641564,44.11055780683758
ANDROSCOGGIN R (LITTLE),Minot,Androscoggin,-70.39190020460279,44.14222712186505
RANGE P (LOWER),Poland,Androscoggin,-70.3691480065,44.043731033
RANGE P (MIDDLE),Poland,Androscoggin,-70.3794845466,44.0266579724
RANGE P (UPPER),Poland,Androscoggin,-70.3988775893,44.00529546
THOMPSON L,Poland,Androscoggin,-70.4788844519,44.0189526601
TRIPP P,Poland,Androscoggin,-70.4333271998,44.0516773719
WORTHLEY P,Poland,Androscoggin,-70.344776845,44.0187622925
SABATTUS P,Sabattus,Androscoggin,-70.101131,44.145768
CRYSTAL (BEALS) P,Turner,Androscoggin,-70.2683339337,44.2825094865
NEZINSCOT R,Turner,Androscoggin,-70.26324652953522,44.25671262266164
PLEASANT P,Turner,Androscoggin,-70.2254754627,44.3189267212
STILES P,Dyer Brook,Aroostook,-68.190625973,46.0697675194
DICKWOOD L,Eagle Lake,Aroostook,-68.6749168393,47.0852891835
MATTAWAMKEAG R (EAST BRANCH),Forkstown Twp,Aroostook,-68.03172378040088,45.89241061587763
MONSON P,Fort Fairfield,Aroostook,-67.8035712513,46.6958737022
FISH RIVER,Fort Kent,Aroostook,-68.59571312902743,47.25414504684666
