,COUNTY,DATE,WATER,TOWN,SPECIES,QTY,SIZE (inch)
0,Androscoggin,2024-01-23,RANGE P (MIDDLE),Poland,BROOK TROUT,100,14
1,Androscoggin,2024-02-15,RANGE P (LOWER),Poland,BROOK TROUT,300,14
2,Androscoggin,2024-04-02,WORTHLEY P,Poland,BROOK TROUT,200,10
3,Androscoggin,2024-04-11,BARTLETT P,Livermore,BROOK TROUT,440,10
4,Androscoggin,2024-04-11,BRETTUNS P,Livermore,BROOK TROUT,300,10
5,Androscoggin,2024-04-11,ROUND P,Livermore,BROOK TROUT,200,10
6,Androscoggin,2024-04-18,ANDROSCOGGIN R,Lisbon,BROOK TROUT,300,10
7,Androscoggin,2024-04-18,BEAVER PARK P #2,Lisbon,BROOK TROUT,100,10
8,Androscoggin,2024-04-18,BEAVER PARK P #3,Lisbon,BROOK TROUT,100,10
9,Androscoggin,2024-04-18,MEADOW B,Durham,BROOK TROUT,100,10
10,Androscoggin,2024-04-18,NEWELL B,Durham,BROOK TROUT,150,10
11,Androscoggin,2024-04-22,ROYAL R,Auburn,BROOK TROUT,200,10
12,Androscoggin,2024-04-24,BASIN B,Auburn,BROOK TROUT,300,10
13,Androscoggin,2024-04-24,STETSON B,Lewiston,BROOK TROUT,150,10
14,Androscoggin,2024-04-25,ANDROSCOGGIN R (LITTLE),Auburn,BROWN TROUT,515,9
15,Androscoggin,2024-04-25,ANDROSCOGGIN R (LITTLE),Auburn,RAINBOW TROUT,515,11
16,Androscoggin,2024-04-25,ANDROSCOGGIN R (LITTLE),Mechanic Falls,BROWN TROUT,350,9
17,Androscoggin,2024-04-25,ANDROSCOGGIN R (LITTLE),Mechanic Falls,RAINBOW TROUT,350,11
18,Androscoggin,2024-04-25,ANDROSCOGGIN R (LITTLE),Minot,BROWN TROUT,300,9
19,Androscoggin,2024-04-25,ANDROSCOGGIN R (LITTLE),Minot,RAINBOW TROUT,300,11
20,Androscoggin,2024-04-26,NEZINSCOT R,Turner,BROWN TROUT,200,9
21,Androscoggin,2024-04-26,NEZINSCOT R,Turner,BROWN TROUT,1075,9
22,Androscoggin,2024-04-30,ROYAL R,Auburn,BROOK TROUT,200,10
23,Androscoggin,2024-05-01,BRETTUNS P,Livermore,BROWN TROUT,100,9
24,Androscoggin,2024-05-01,LITTLE R,Lisbon,BROWN TROUT,500,9
25,Androscoggin,2024-05-07,ANDROSCOGGIN R,Lisbon,BROOK TROUT,200,10
26,Androscoggin,2024-05-07,LITTLE R,Lisbon,BROOK TROUT,300,10
27,Androscoggin,2024-05-07,MEADOW B,Durham,BROOK TROUT,100,10
28,Androscoggin,2024-05-07,NEWELL B,Durham,BROOK TROUT,150,10
29,Androscoggin,2024-05-07,TRIPP P,Poland,BROWN TROUT,400,9
30,Androscoggin,2024-05-07,WORTHLEY P,Poland,BROWN TROUT,75,9
31,Androscoggin,2024-05-08,ANDROSCOGGIN R (LITTLE),Auburn,BROWN TROUT,355,10
32,Androscoggin,2024-05-08,NEZINSCOT R,Turner,BROOK TROUT,650,10
33,Androscoggin,2024-05-08,PLEASANT P,Turner,BROOK TROUT,100,10
34,Androscoggin,2024-05-14,ANDROSCOGGIN R (LITTLE),Auburn,BROWN TROUT,360,9
35,Androscoggin,2024-05-14,ANDROSCOGGIN R (LITTLE),Auburn,RAINBOW TROUT,515,11
36,Androscoggin,2024-05-14,ANDROSCOGGIN R (LITTLE),Mechanic Falls,BROWN TROUT,550,9
37,Androscoggin,2024-05-14,ANDROSCOGGIN R (LITTLE),Mechanic Falls,RAINBOW TROUT,350,11
38,Androscoggin,2024-05-14,ANDROSCOGGIN R (LITTLE),Minot,BROWN TROUT,400,9
39,Androscoggin,2024-05-14,ANDROSCOGGIN R (LITTLE),Minot,RAINBOW TROUT,300,11
40,Androscoggin,2024-05-16,PETTINGILL PARK P,Auburn,BROOK TROUT,200,10
41,Androscoggin,2024-05-17,AUBURN L,Auburn,LAKE TROUT,1150,7
42,Androscoggin,2024-05-31,STETSON B,Lewiston,BROWN TROUT,300,9
43,Androscoggin,2024-06-04,AUBURN L,Auburn,L.L. SALMON,500,8
44,Androscoggin,2024-06-04,THOMPSON L,Poland,L.L. SALMON,750,8
45,Androscoggin,2024-10-02,RANGE P (MIDDLE),Poland,RAINBOW TROUT,650,14
46,Androscoggin,2024-10-02,RANGE P (UPPER),Poland,RAINBOW TROUT,300,14
47,Androscoggin,2024-10-03,ANDROSCOGGIN R (LITTLE),Auburn,RAINBOW TROUT,200,14
48,Androscoggin,2024-10-03,ANDROSCOGGIN R (LITTLE),Mechanic Falls,RAINBOW TROUT,100,14
49,Androscoggin,2024-10-03,ANDROSCOGGIN R (LITTLE),Minot,RAINBOW TROUT,200,14
50,Androscoggin,2024-10-03,LONG P,Livermore,BROWN TROUT,100,12
51,Androscoggin,2024-10-03,RANGE P (UPPER),Poland,BROWN TROUT,150,12
52,Androscoggin,2024-10-03,ROUND P,Livermore,BROWN TROUT,100,12
53,Androscoggin,2024-10-04,RANGE P (LOWER),Poland,BROWN TROUT,300,12
54,Androscoggin,2024-10-04,RANGE P (MIDDLE),Poland,BROWN TROUT,325,12
55,Androscoggin,2024-10-07,BARTLETT P,Livermore,BROOK TROUT,500,8
56,Androscoggin,2024-10-07,BARTLETT P,Livermore,BROOK TROUT,300,12
57,Androscoggin,2024-10-07,BRETTUNS P,Livermore,BROOK TROUT,500,8
58,Androscoggin,2024-10-07,BRETTUNS P,Livermore,BROOK TROUT,500,12
59,Androscoggin,2024-10-07,CRYSTAL (BEALS) P,Turner,BROOK TROUT,250,12
60,Androscoggin,2024-10-07,LONG P,Livermore,BROOK TROUT,500,12
61,Androscoggin,2024-10-07,PLEASANT P,Turner,BROOK TROUT,400,12
62,Androscoggin,2024-10-07,RANGE P (LOWER),Poland,BROOK TROUT,200,12
63,Androscoggin,2024-10-07,RANGE P (MIDDLE),Poland,BROOK TROUT,350,12
64,Androscoggin,2024-10-07,RANGE P (UPPER),Poland,BROOK TROUT,400,12
65,Androscoggin,2024-10-07,ROUND P,Livermore,BROOK TROUT,400,12
66,Androscoggin,2024-10-10,CRYSTAL (BEALS) P,Turner,BROOK TROUT,250,7
67,Androscoggin,2024-10-10,ROUND P,Livermore,BROOK TROUT,400,7
68,Androscoggin,2024-10-17,WORTHLEY P,Poland,BROOK TROUT,750,8
69,Androscoggin,2024-10-17,WORTHLEY P,Poland,BROOK TROUT,175,12
70,Androscoggin,2024-10-18,BEAVER PARK P #3,Lisbon,BROOK TROUT,200,7
71,Androscoggin,2024-10-29,PLEASANT P,Turner,L.L. SALMON,50,12
72,Androscoggin,2024-11-06,TRIPP P,Poland,BROWN TROUT,100,12
73,Androscoggin,2024-11-06,WORTHLEY P,Poland,BROWN TROUT,75,12
74,Androscoggin,2024-11-06,WORTHLEY P,Poland,BROOK TROUT,15,17
75,Androscoggin,2024-11-15,RANGE P (MIDDLE),Poland,BROOK TROUT,15,19
76,Androscoggin,2024-11-15,RANGE P (UPPER),Poland,BROOK TROUT,10,19
77,Androscoggin,2024-11-19,BARTLETT P,Livermore,BROOK TROUT,40,17
78,Androscoggin,2024-11-19,BRETTUNS P,Livermore,BROOK TROUT,25,17
