,COUNTY,DATE,WATER,TOWN,SPECIES,QTY,SIZE (inch),X_coord,Y_coord
0,Androscoggin,2024-01-23,RANGE P (MIDDLE),Poland,BROOK TROUT,100,14,-70.3794845466,44.0266579724
1,Androscoggin,2024-02-15,RANGE P (LOWER),Poland,BROOK TROUT,300,14,-70.3691480065,44.043731033
2,Androscoggin,2024-04-02,WORTHLEY P,Poland,BROOK TROUT,200,10,-70.344776845,44.0187622925
3,Androscoggin,2024-04-11,BARTLETT P,Livermore,BROOK TROUT,440,10,-70.2052077503,44.4011913925
4,Androscoggin,2024-04-11,BRETTUNS P,Livermore,BROOK TROUT,300,10,-70.2502684137,44.3926629255
5,Androscoggin,2024-04-11,ROUND P,Livermore,BROOK TROUT,200,10,-70.2188831683,44.4326436271
6,Androscoggin,2024-04-18,ANDROSCOGGIN R,Lisbon,BROOK TROUT,300,10,-70.0849996378,44.3241783631
7,Androscoggin,2024-04-18,BEAVER PARK P #2,Lisbon,BROOK TROUT,100,10,-70.1304425675,44.0298705242
8,Androscoggin,2024-04-18,BEAVER PARK P #3,Lisbon,BROOK TROUT,100,10,-70.1318739294,44.027780521
9,Androscoggin,2024-04-18,MEADOW B,Durham,BROOK TROUT,100,10,44.6939,-69.3815
10,Androscoggin,2024-04-18,NEWELL B,Durham,BROOK TROUT,150,10,44.6939,-69.3815
11,Androscoggin,2024-04-22,ROYAL R,Auburn,BROOK TROUT,200,10,44.6939,-69.3815
12,Androscoggin,2024-04-24,BASIN B,Auburn,BROOK TROUT,300,10,-70.2863027018,44.1846892967
13,Androscoggin,2024-04-24,STETSON B,Lewiston,BROOK TROUT,150,10,-69.1239385457,44.8383037989
14,Androscoggin,2024-04-25,ANDROSCOGGIN R (LITTLE),Auburn,BROWN TROUT,515,9,44.6939,-69.3815
15,Androscoggin,2024-04-25,ANDROSCOGGIN R (LITTLE),Auburn,RAINBOW TROUT,515,11,44.6939,-69.3815
16,Androscoggin,2024-04-25,ANDROSCOGGIN R (LITTLE),Mechanic Falls,BROWN TROUT,350,9,44.6939,-69.3815
17,Androscoggin,2024-04-25,ANDROSCOGGIN R (LITTLE),Mechanic Falls,RAINBOW TROUT,350,11,44.6939,-69.3815
