Date,Water,City,Species,Qty,Size (inch)
4/18/2024,ANDROSCOGGIN R,LISBON,BROOK TROUT,300,10
5/7/2024,ANDROSCOGGIN R,LISBON,BROOK TROUT,200,10
4/25/2024,ANDROSCOGGIN R (LITTLE),AUBURN,BROWN TROUT,515,9
4/25/2024,ANDROSCOGGIN R (LITTLE),MECHANIC FALLS,BROWN TROUT,350,9
4/25/2024,ANDROSCOGGIN R (LITTLE),MINOT,BROWN TROUT,300,9
4/25/2024,ANDROSCOGGIN R (LITTLE),MINOT,RAINBOW TROUT,300,11
4/25/2024,ANDROSCOGGIN R (LITTLE),AUBURN,RAINBOW TROUT,515,11
4/25/2024,ANDROSCOGGIN R (LITTLE),MECHANIC FALLS,RAINBOW TROUT,350,11
5/8/2024,ANDROSCOGGIN R (LITTLE),AUBURN,BROWN TROUT,355,10
5/14/2024,ANDROSCOGGIN R (LITTLE),MECHANIC FALLS,BROWN TROUT,550,9
5/14/2024,ANDROSCOGGIN R (LITTLE),MINOT,BROWN TROUT,400,9
5/14/2024,ANDROSCOGGIN R (LITTLE),AUBURN,BROWN TROUT,360,9
5/14/2024,ANDROSCOGGIN R (LITTLE),MINOT,RAINBOW TROUT,300,11
5/14/2024,ANDROSCOGGIN R (LITTLE),AUBURN,RAINBOW TROUT,515,11
5/14/2024,ANDROSCOGGIN R (LITTLE),MECHANIC FALLS,RAINBOW TROUT,350,11
10/3/2024,ANDROSCOGGIN R (LITTLE),MINOT,RAINBOW TROUT,200,14
10/3/2024,ANDROSCOGGIN R (LITTLE),AUBURN,RAINBOW TROUT,200,14
10/3/2024,ANDROSCOGGIN R (LITTLE),MECHANIC FALLS,RAINBOW TROUT,100,14
11/27/2024,ANDROSCOGGIN R (LITTLE),MINOT,RAINBOW TROUT,25,20
5/17/2024,AUBURN L,AUBURN,LAKE TROUT,1150,7
6/4/2024,AUBURN L,AUBURN,L.L. SALMON,500,8
4/11/2024,BARTLETT P,LIVERMORE,BROOK TROUT,440,10
10/7/2024,BARTLETT P,LIVERMORE,BROOK TROUT,300,12
10/7/2024,BARTLETT P,LIVERMORE,BROOK TROUT,500,8
11/19/2024,BARTLETT P,LIVERMORE,BROOK TROUT,40,17
4/24/2024,BASIN B,AUBURN,BROOK TROUT,300,10
4/18/2024,BEAVER PARK P #2,LISBON,BROOK TROUT,100,10
4/18/2024,BEAVER PARK P #3,LISBON,BROOK TROUT,100,10
10/18/2024,BEAVER PARK P #3,LISBON,BROOK TROUT,200,7
4/11/2024,BRETTUNS P,LIVERMORE,BROOK TROUT,300,10
5/1/2024,BRETTUNS P,LIVERMORE,BROWN TROUT,100,9
10/7/2024,BRETTUNS P,LIVERMORE,BROOK TROUT,500,8
10/7/2024,BRETTUNS P,LIVERMORE,BROOK TROUT,500,12
11/19/2024,BRETTUNS P,LIVERMORE,BROOK TROUT,25,17
10/7/2024,CRYSTAL (BEALS) P,TURNER,BROOK TROUT,250,12
10/10/2024,CRYSTAL (BEALS) P,TURNER,BROOK TROUT,250,7
5/1/2024,LITTLE R,LISBON,BROWN TROUT,500,9
5/7/2024,LITTLE R,LISBON,BROOK TROUT,300,10
10/3/2024,LONG P,LIVERMORE,BROWN TROUT,100,12
10/7/2024,LONG P,LIVERMORE,BROOK TROUT,500,12
4/18/2024,MEADOW B,DURHAM,BROOK TROUT,100,10
5/7/2024,MEADOW B,DURHAM,BROOK TROUT,100,10
4/18/2024,NEWELL B,DURHAM,BROOK TROUT,150,10
5/7/2024,NEWELL B,DURHAM,BROOK TROUT,150,10
4/26/2024,NEZINSCOT R,TURNER,BROWN TROUT,200,9
4/26/2024,NEZINSCOT R,TURNER,BROWN TROUT,1075,9
5/8/2024,NEZINSCOT R,TURNER,BROOK TROUT,650,10
5/16/2024,PETTINGILL PARK P,AUBURN,BROOK TROUT,200,10
5/8/2024,PLEASANT P,TURNER,BROOK TROUT,100,10
10/7/2024,PLEASANT P,TURNER,BROOK TROUT,400,12
10/29/2024,PLEASANT P,TURNER,L.L. SALMON,50,12
2/15/2024,RANGE P (LOWER),POLAND,BROOK TROUT,300,14
10/4/2024,RANGE P (LOWER),POLAND,BROWN TROUT,300,12
10/7/2024,RANGE P (LOWER),POLAND,BROOK TROUT,200,12
1/23/2024,RANGE P (MIDDLE),POLAND,BROOK TROUT,100,14
10/2/2024,RANGE P (MIDDLE),POLAND,RAINBOW TROUT,650,14
10/4/2024,RANGE P (MIDDLE),POLAND,BROWN TROUT,325,12
10/7/2024,RANGE P (MIDDLE),POLAND,BROOK TROUT,350,12
11/15/2024,RANGE P (MIDDLE),POLAND,BROOK TROUT,15,19
11/27/2024,RANGE P (MIDDLE),POLAND,RAINBOW TROUT,50,20
10/2/2024,RANGE P (UPPER),POLAND,RAINBOW TROUT,300,14
10/3/2024,RANGE P (UPPER),POLAND,BROWN TROUT,150,12
10/7/2024,RANGE P (UPPER),POLAND,BROOK TROUT,400,12
11/15/2024,RANGE P (UPPER),POLAND,BROOK TROUT,10,19
11/27/2024,RANGE P (UPPER),POLAND,RAINBOW TROUT,50,20
4/11/2024,ROUND P,LIVERMORE,BROOK TROUT,200,10
10/3/2024,ROUND P,LIVERMORE,BROWN TROUT,100,12
10/7/2024,ROUND P,LIVERMORE,BROOK TROUT,400,12
10/10/2024,ROUND P,LIVERMORE,BROOK TROUT,400,7
11/19/2024,ROUND P,LIVERMORE,BROOK TROUT,25,17
4/22/2024,ROYAL R,AUBURN,BROOK TROUT,200,10
4/30/2024,ROYAL R,AUBURN,BROOK TROUT,200,10
4/24/2024,STETSON B,LEWISTON,BROOK TROUT,150,10
5/31/2024,STETSON B,LEWISTON,BROWN TROUT,300,9
6/4/2024,THOMPSON L,POLAND,L.L. SALMON,750,8
5/7/2024,TRIPP P,POLAND,BROWN TROUT,400,9
11/6/2024,TRIPP P,POLAND,BROWN TROUT,100,12
11/26/2024,TRIPP P,POLAND,L.L. SALMON,40,20
12/3/2024,TRIPP P,POLAND,BROWN TROUT,50,18
4/2/2024,WORTHLEY P,POLAND,BROOK TROUT,200,10
5/7/2024,WORTHLEY P,POLAND,BROWN TROUT,75,9
10/17/2024,WORTHLEY P,POLAND,BROOK TROUT,750,8
10/17/2024,WORTHLEY P,POLAND,BROOK TROUT,175,12
11/6/2024,WORTHLEY P,POLAND,BROOK TROUT,15,17
11/6/2024,WORTHLEY P,POLAND,BROWN TROUT,75,12
4/30/2024,ARNOLD BROOK L,PRESQUE ISLE,BROOK TROUT,300,10
10/30/2024,ARNOLD BROOK L,PRESQUE ISLE,BROOK TROUT,1000,13
5/15/2024,BEAU L,T19 R11 WELS,LAKE TROUT,800,6
5/15/2024,BEAVER TAIL P,T14 R9 WELS,BROOK TROUT,295,11
9/23/2024,BLACK P,SAINT JOHN PLT,BROOK TROUT,400,8
5/15/2024,BLACK P (LITTLE SO),T15 R9 WELS,BROOK TROUT,70,11
4/11/2024,BROWN P,HOULTON,BROOK TROUT,100,10
9/24/2024,CARRY L,LITTLETON,BROOK TROUT,1500,8
5/30/2024,CHURCH ON THE HILL P,HOULTON,BROOK TROUT,150,10
4/30/2024,CONROY L,MONTICELLO,BROOK TROUT,500,10
10/25/2024,CONROY L,MONTICELLO,SPLAKE,200,13
11/7/2024,CONROY L,MONTICELLO,BROOK TROUT,50,18
5/13/2024,CORBIN P,GRAND ISLE,BROOK TROUT,200,10
11/8/2024,CROSS L,T16 R5 WELS,L.L. SALMON,140,17
10/8/2024,DAIGLE P,NEW CANADA,BROOK TROUT,500,8
9/30/2024,DEEP L #1,LITTLETON,BROOK TROUT,600,8
5/1/2024,DEERING L,WESTON,BROOK TROUT,750,10
5/16/2024,DEERING L,WESTON,L.L. SALMON,320,7
9/23/2024,DICKWOOD L,EAGLE LAKE,BROOK TROUT,2000,8
4/26/2024,DREWS (MEDUXNEKEAG) L,LINNEUS,BROWN TROUT,450,9
10/25/2024,DREWS (MEDUXNEKEAG) L,LINNEUS,SPLAKE,500,13
9/19/2024,DUREPO L,LIMESTONE,BROOK TROUT,2000,8
10/8/2024,DUREPO L,LIMESTONE,BROOK TROUT,500,13
9/25/2024,ECHO L,PRESQUE ISLE,BROOK TROUT,6000,8
9/26/2024,FAULKNER L,WESTON,BROOK TROUT,200,13
9/26/2024,FISH RIVER,FORT KENT,BROOK TROUT,1000,13
9/26/2024,FISH RIVER,FORT KENT,L.L. SALMON,650,12
9/23/2024,FOX P,T17 R12 WELS,BROOK TROUT,200,8
5/15/2024,GLAZIER L,T18 R10 WELS,LAKE TROUT,1000,6
5/2/2024,GRAND L (EAST),WESTON,BROOK TROUT,1500,10
5/16/2024,GRAND L (EAST),WESTON,L.L. SALMON,2100,7
5/16/2024,GRAND L (EAST),ORIENT,L.L. SALMON,2100,7
5/24/2024,GRAND L (EAST),ORIENT,BROOK TROUT,1500,9
10/9/2024,GRAND L (EAST),ORIENT,BROOK TROUT,600,13
10/9/2024,GRAND L (EAST),WESTON,BROOK TROUT,600,13
9/23/2024,HALE P,MORO PLT,BROOK TROUT,700,8
5/1/2024,HANNINGTON P,REED PLT,BROOK TROUT,300,10
9/24/2024,HANSON BROOK L,MAPLETON,BROOK TROUT,2500,8
9/30/2024,HODGDON DEADWATER,HODGDON,BROWN TROUT,250,12
9/30/2024,ISLAND P,T14 R8 WELS,BROOK TROUT,500,7
7/3/2024,LIMESTONE STREAM,LIMESTONE,BROOK TROUT,200,11
4/30/2024,LOGAN L,HOULTON,BROOK TROUT,250,10
5/28/2024,LONG L,T17 R4 WELS,L.L. SALMON,3800,8
11/8/2024,MADAWASKA L,T16 R4 WELS,BROOK TROUT,200,14
11/8/2024,MADAWASKA L,T16 R4 WELS,L.L. SALMON,140,17
11/12/2024,MADAWASKA L,T16 R4 WELS,BROOK TROUT,1300,14
5/29/2024,MANTLE L,PRESQUE ISLE,BROOK TROUT,500,11
10/2/2024,MATTAWAMKEAG L,T4 R3 WELS,L.L. SALMON,600,12
5/8/2024,MATTAWAMKEAG R,HAYNESVILLE,BROOK TROUT,1500,10
5/29/2024,MATTAWAMKEAG R,HAYNESVILLE,BROOK TROUT,600,10
6/11/2024,MATTAWAMKEAG R,HAYNESVILLE,BROOK TROUT,660,10
5/8/2024,MATTAWAMKEAG R (EAST BRANCH),OAKFIELD,BROOK TROUT,600,10
5/8/2024,MATTAWAMKEAG R (EAST BRANCH),FORKSTOWN TWP,BROOK TROUT,1000,10
5/29/2024,MATTAWAMKEAG R (EAST BRANCH),FORKSTOWN TWP,BROOK TROUT,600,10
6/4/2024,MCNALLY P (UPPER),T11 R10 WELS,BROOK TROUT,1000,11
5/13/2024,MEDUXNEKEAG R (NORTH BRANCH),MONTICELLO,BROOK TROUT,275,10
5/13/2024,MEDUXNEKEAG R (NORTH BRANCH),TC R2 WELS,BROOK TROUT,275,10
5/13/2024,MICHAUD P,FORT KENT,BROOK TROUT,200,10
5/15/2024,MOCCASIN P,T14 R8 WELS,BROOK TROUT,90,11
