COUNTY,WATER,TOWN,SPECIES,Y_coord,X_coord
Oxford,UMBAGOG L,Magalloway Plt,NORTHERN PIKE,44.779156,-71.034778
Oxford,BEAR P,Harford,NORTHERN PIKE,44.339568,-70.281690
Oxford,BEAR P (LITTLE),Harford,NORTHERN PIKE,44.353792,-70.290362
Kennebec,NORTH P,Rome,NORTHERN PIKE,44.622996,-69.842381
Kennebec,NORTH P (LITTLE),Rome,NORTHERN PIKE,44.622996,-69.842381
Kennebec,LONG P,Belgrade,NORTHERN PIKE,44.494850,-69.915569
Kennebec,GREAT P,Belgrade,NORTHERN PIKE,44.544012,-69.847151
Kennebec,MESSALONSKEE L,Belgrade,NORTHERN PIKE,44.475362,-69.789116
Kennebec,BERRY P,Winthrop,NORTHERN PIKE,44.332901,-70.023651
Kennebec,INGHAM P,Mount Vernon,NORTHERN PIKE,44.453568,-69.927233
Kennebec,COBBOSSEECONTEE L,Manchester,NORTHERN PIKE,44.270858,-69.930096
Kennebec,ANNABESSACOOK L,Monmouth,NORTHERN PIKE,44.269616,-69.979887
Kennebec,WILSON P,Wayne,NORTHERN PIKE,44.295440,-70.047878
Androscoggin,TAYLOR P,Auburn,NORTHERN PIKE,44.109052,-70.278494
Androscoggin,SABATTUS P,Sabattus,NORTHERN PIKE,44.145768,-70.101131
Androscoggin,SABATTUS P (LITTLE),Greene,NORTHERN PIKE,44.210982,-70.134896
Sagadahoc,WINNEGANCE L,West Bath,NORTHERN PIKE,43.872344,-69.824126
York,ESTES L,Sanford,NORTHERN PIKE,43.425960,-70.678322
York,BRANCH P (MIDDLE),Waterboro,NORTHERN PIKE,43.556306,-70.775881
Cumberland,SEBAGO L,Sebago,NORTHERN PIKE,43.870823,-70.599172
Kennebec,NARROWS P (LOWER),Winthrop,NORTHERN PIKE,44.290317,-69.951790
Androscoggin,LONG P,Livermore,NORTHERN PIKE,44.432238,-70.208375
Androscoggin,ROUND P,Livermore,NORTHERN PIKE,44.432298,-70.218831
Kennebec,LOVEJOY P,Albion,NORTHERN PIKE,44.519951,-69.470231
Sagadahoc,NEQUASSET L,Woolwich,NORTHERN PIKE,43.952365,-69.774280
Kennebec,TORSEY P,Mount Vernon,NORTHERN PIKE,44.427988,-69.981433
Kennebec,MOSHER P,Fayette,NORTHERN PIKE,44.478029,-70.106222
Xnox,NORTH P,Warren,NORTHERN PIKE,44.134910,-69.285182
Kennebec,COBBOSEECONTEE L (LITTLE),Winthrop,NORTHERN PIKE,44.328450,-69.886033
Penobscot,PUSHAW L,Old Town,NORTHERN PIKE,44.934328,-68.799874

